1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,class
1,0,4,5,1,3,0,1,1,0,1,14,1,5,0,0,3,0,1,0,1,0,19,0,7,0,0,7,6,1,15,19,23,0,3,2,1,0,3,0,1,0,3,5,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,6,0,0,0,0,2,0,5,0,0,1,1,0,5,1,0,0,0,0,2,0,0,0,2,15,0,2,0,0,2,6,2,1,2,2,0,2,2,1,0,0,0,0,2,2,6,0,2,0,0,1,1,0,0,2,5,1,0,2,1,0,0,2,1,0,6,1,1,6,0,2,3,0,0,9,1,7,5,0,1,1,0,0,0,31,1,0,9,0,4,0,2,1,0,0,0,6,0,0,1,2,5,3,2,0,2,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9,1,1,0,2,1,0,0,2,0,0,1,0,0,5,1,0,0,0,0,0,2,0,43,0,2,0,2,0,0,1,4,1,2,2,0,0,17,0,0,0,3,0,1,1,2,2,0,1,0,0,0,0,4,0,0,M
1,7,0,2,2,15,2,6,0,4,2,24,1,4,0,1,1,1,10,5,1,2,38,2,18,0,2,11,4,2,15,34,13,1,3,0,3,3,28,0,2,2,1,7,2,1,0,1,2,0,1,3,3,0,2,2,2,3,0,6,0,0,1,4,11,3,0,0,4,1,0,2,2,0,2,2,2,15,3,1,1,0,1,6,1,1,2,0,15,1,1,0,1,2,1,3,2,0,4,4,1,4,2,1,0,0,2,0,6,8,2,2,0,0,0,4,0,2,3,6,0,0,0,2,0,2,0,3,0,9,1,3,16,2,0,3,1,1,6,6,7,2,0,1,1,0,4,0,103,0,1,19,0,16,1,1,3,3,0,0,4,1,0,1,0,6,3,2,0,4,8,0,1,1,5,0,0,0,2,0,0,1,0,0,5,1,1,3,0,0,2,1,1,3,0,1,0,2,0,29,1,11,1,6,0,2,1,0,1,2,3,0,2,8,1,2,0,0,0,2,0,5,50,0,1,1,0,1,0,0,9,4,0,6,1,0,37,3,1,1,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,M
0,26,6,5,4,26,2,23,4,1,5,78,15,6,0,0,1,8,60,59,4,4,94,3,65,0,1,16,12,2,40,87,35,1,7,2,13,8,165,2,5,0,2,19,1,7,10,5,3,1,2,2,15,3,9,3,2,11,0,7,2,0,1,9,20,10,0,1,14,5,0,11,3,6,3,2,3,40,1,5,9,1,2,25,1,3,5,3,40,0,6,1,5,7,6,5,6,0,6,7,0,5,11,1,3,0,5,5,9,21,10,0,5,1,4,0,1,4,6,19,19,0,1,6,6,5,0,4,0,34,0,0,75,8,0,17,2,14,23,1,17,4,3,1,7,2,8,6,347,8,11,86,8,15,0,0,2,17,3,1,12,25,3,7,10,69,7,2,0,7,21,13,0,2,16,3,2,5,5,2,3,1,6,3,6,0,8,6,6,3,1,5,7,3,2,6,4,16,1,103,3,32,0,19,11,31,3,2,2,4,2,0,5,26,6,3,1,0,4,4,2,21,205,4,4,3,2,1,0,1,21,14,6,16,3,3,106,7,5,3,7,1,9,3,4,2,7,3,1,2,1,2,3,10,9,M
0,2,1,1,3,8,2,5,1,1,1,14,0,0,0,1,0,0,6,3,0,2,13,0,13,0,2,3,2,0,7,13,11,1,1,1,2,1,17,1,1,0,0,2,1,0,0,0,0,0,1,2,1,0,0,1,1,3,0,3,0,0,1,5,9,3,0,0,0,2,0,1,0,3,0,0,0,12,0,3,1,0,2,7,0,2,0,0,7,0,1,0,2,0,0,1,1,2,2,3,1,0,1,0,0,0,1,0,2,4,0,2,0,2,0,0,0,0,0,5,1,0,7,1,1,0,1,0,2,6,0,0,8,4,0,8,0,2,5,1,3,1,1,0,1,0,4,2,57,0,0,10,1,2,0,1,0,2,0,1,2,0,3,1,0,4,1,0,0,0,4,2,0,0,0,0,0,0,0,1,1,1,0,0,4,0,3,2,0,0,1,1,1,1,0,0,0,1,1,23,0,10,0,6,2,1,0,7,1,0,0,0,0,7,1,0,1,0,0,4,0,1,36,1,0,0,1,1,0,0,4,0,1,2,1,1,30,2,2,1,5,1,1,1,1,2,0,1,1,1,0,0,1,2,2,M
2,3,1,1,1,7,3,7,0,2,1,13,0,3,0,0,1,0,1,1,1,2,30,0,18,0,0,7,5,2,12,27,16,1,1,1,2,1,15,1,0,1,1,6,1,0,0,0,1,1,0,1,0,0,3,0,2,0,0,2,0,0,2,0,5,0,0,0,3,0,0,2,6,1,0,2,0,3,0,0,0,0,0,4,0,0,2,2,12,3,2,0,3,1,1,4,0,0,3,2,0,1,1,0,0,0,1,2,6,6,3,0,0,0,1,2,0,4,2,3,3,1,0,2,0,2,0,1,1,4,0,2,13,3,2,2,1,1,6,0,7,0,0,0,0,0,0,1,49,0,1,24,1,1,1,0,2,0,1,1,5,1,0,3,5,12,1,0,0,5,6,3,0,1,6,0,0,1,2,0,1,3,0,0,1,0,1,1,2,0,1,0,1,1,0,0,1,4,1,29,0,7,1,2,1,0,0,0,0,0,3,0,2,5,0,1,0,0,0,0,2,1,39,0,4,1,1,0,0,1,5,6,0,2,2,0,23,0,3,0,6,0,1,0,0,0,3,1,0,0,2,3,1,1,4,F
0,3,1,0,0,9,2,8,3,0,0,24,0,0,0,3,3,1,2,0,2,2,11,1,15,1,1,16,3,0,4,10,10,0,1,1,0,0,16,0,0,0,0,2,2,1,4,0,0,1,1,1,0,4,0,1,0,0,0,3,1,0,0,4,12,0,4,0,4,1,1,1,1,1,0,0,0,5,2,0,0,0,2,5,1,0,0,0,4,1,4,2,0,4,1,1,1,0,1,4,0,4,0,0,2,0,1,3,1,0,0,1,1,0,0,2,0,0,0,4,3,0,1,2,0,0,0,0,0,3,1,1,0,3,3,4,1,0,7,1,13,0,0,0,0,1,0,1,59,0,2,12,0,3,1,0,0,0,1,2,3,0,1,0,3,10,1,2,0,3,0,2,0,0,0,1,0,0,0,0,1,2,6,1,7,0,0,1,3,0,1,0,0,0,3,0,2,3,1,22,2,12,2,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,1,1,2,30,0,1,1,1,0,1,1,5,0,1,2,6,1,32,0,0,0,1,1,2,1,3,1,1,1,1,0,1,4,1,1,3,M
0,19,4,1,0,21,2,13,0,0,6,40,3,3,1,0,1,4,12,4,1,8,65,1,32,0,3,15,3,6,19,59,47,3,0,1,2,5,26,1,4,0,0,15,1,3,2,0,0,1,0,6,7,1,2,0,3,0,0,8,1,0,0,6,13,0,1,2,6,2,1,6,5,4,2,6,1,21,2,4,7,1,5,8,0,1,1,3,19,1,3,0,5,1,3,3,4,0,6,10,0,6,4,0,0,2,1,0,13,15,4,0,4,3,3,4,0,0,3,12,4,0,4,1,5,1,1,4,6,15,1,3,48,2,1,11,1,5,8,3,3,1,1,1,2,1,4,1,133,2,1,54,1,9,2,0,7,4,4,0,3,5,4,12,6,15,0,0,1,2,15,4,0,2,8,0,0,1,3,3,0,0,0,5,1,1,4,2,2,3,2,0,5,6,0,4,6,1,1,46,0,20,0,6,2,0,1,6,2,1,7,3,3,15,9,6,1,0,1,1,3,17,108,0,5,1,1,5,0,1,23,8,2,13,5,3,59,1,5,1,18,0,4,0,3,4,2,0,4,2,3,2,1,1,1,F
0,9,1,0,0,10,0,4,1,0,1,36,3,2,0,0,0,1,0,0,3,1,15,1,7,0,0,6,2,1,4,15,30,1,1,0,2,1,0,0,3,0,1,7,0,1,2,0,0,1,2,0,0,1,3,1,0,1,0,2,2,0,0,0,7,1,0,1,0,1,1,1,1,3,1,1,0,22,0,2,4,1,0,1,0,0,0,0,4,0,3,0,0,0,6,0,1,5,1,1,1,2,2,2,0,1,2,3,1,1,4,6,0,4,3,0,0,0,0,7,4,0,0,0,4,0,0,1,2,5,0,0,2,2,2,6,0,0,25,0,8,0,1,1,1,3,0,0,77,2,2,30,3,6,0,1,1,18,1,0,2,3,0,2,0,9,1,1,0,3,1,3,0,0,4,2,1,3,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,2,1,0,1,13,1,6,0,1,1,0,0,0,0,0,1,2,0,8,0,0,0,0,0,1,2,6,62,0,2,0,0,0,1,0,11,0,3,7,0,1,28,2,0,0,13,0,1,3,1,2,0,4,3,2,1,0,2,0,0,M
0,6,0,1,0,10,4,7,0,3,2,11,1,2,0,1,2,0,0,0,2,2,27,0,20,0,2,13,4,1,15,27,8,0,1,0,3,1,1,1,1,1,0,6,3,0,1,0,1,1,0,2,2,0,0,0,1,2,0,7,1,0,3,4,1,0,0,0,0,0,1,0,0,2,0,1,1,7,0,1,3,0,5,7,0,0,0,0,15,2,1,1,3,0,0,1,0,0,2,5,1,5,1,1,1,0,0,0,2,9,1,1,1,0,0,1,2,1,3,2,0,0,0,3,3,0,0,0,2,8,0,1,12,0,1,2,0,2,7,0,7,1,0,0,1,1,4,1,44,0,4,12,0,1,0,1,1,3,0,0,4,2,2,0,3,4,1,0,0,0,9,0,0,0,1,0,2,0,0,2,0,0,1,2,0,0,2,2,1,1,2,0,1,3,0,0,0,0,0,31,1,12,2,6,3,0,0,0,3,1,1,0,0,5,1,0,0,0,1,0,0,6,40,0,1,3,0,0,0,0,6,1,3,4,0,0,22,0,3,0,2,0,2,2,2,0,1,0,1,2,0,0,0,0,1,F
2,4,3,3,0,9,0,3,0,0,0,16,1,3,0,0,0,0,0,0,1,1,20,0,11,0,1,2,10,0,11,19,16,0,0,5,1,1,3,1,1,0,3,7,0,0,1,0,0,2,0,1,1,1,3,0,0,3,0,4,0,0,0,0,7,3,0,0,2,0,0,4,0,2,0,0,1,10,0,2,3,0,1,3,2,0,3,0,11,0,3,0,1,0,1,0,1,0,2,1,1,1,3,0,0,0,0,0,2,0,3,1,1,1,2,0,1,0,0,3,2,0,4,1,2,3,1,1,0,12,0,0,2,4,0,5,2,1,11,2,1,2,0,0,0,0,0,0,48,1,0,9,1,5,0,1,0,5,1,0,10,1,1,0,0,6,0,0,0,1,0,3,0,1,3,0,1,1,3,2,0,0,1,0,0,1,0,3,0,1,0,1,1,2,0,1,1,0,1,20,1,5,0,2,0,0,0,7,1,1,0,0,3,5,0,1,0,0,0,4,2,3,41,1,2,0,5,0,0,0,4,3,1,4,0,0,26,0,1,0,3,0,2,0,0,2,1,2,1,1,1,0,5,0,0,F
