new_1,new_2,new_3,gender
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,0,1,F
1,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,2,0,M
0,0,0,F
1,1,0,M
0,0,0,M
0,3,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,1,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,1,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
1,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,F
0,1,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
1,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,1,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,3,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,F
1,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
2,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
1,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,1,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,1,0,F
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,1,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
4,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,1,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,F
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,M
0,0,0,F
0,0,0,M
0,0,0,F
