f_measure,gender
42,M
73,M
134.5,M
156,M
155.5,F
190.5,M
204.5,F
221,M
222,F
232.5,F
266,F
324,M
339,F
334,F
344,M
321.5,F
323.5,F
356.5,M
371.5,M
409,F
410,M
434,M
455.5,F
447,F
457.5,M
466.5,M
483,F
479.5,M
489.5,F
523.5,M
538.5,M
551.5,F
571.5,M
597.5,M
617.5,M
626,F
665.5,M
676.5,F
720,F
719,M
737.5,F
754.5,M
769,M
786,F
806,M
816.5,M
859,M
862.5,F
883.5,M
905.5,F
905.5,M
906,F
885.5,F
895,M
934,F
934.5,M
1002.5,F
1013.5,M
1074,M
1096,M
1089.5,F
1113,M
1176,F
1225,F
1261.5,F
1271,M
1294.5,M
1315,F
1318,M
1386.5,M
1435.5,M
1554.5,M
1561.5,M
1595,M
1673.5,M
1756,F
1769,F
1761.5,M
1815.5,M
1811.5,M
1833,M
1892.5,M
1899.5,F
1957.5,F
1996.5,M
2035,M
2038.5,F
2071,M
2070.5,M
2070.5,F
2037,F
2043,F
2024.5,M
2038,M
2091.5,M
2146,M
2161.5,M
2172,M
2202,F
2203.5,M
2223,F
2239,F
2246.5,M
2297,F
2318,F
2347,M
2428,F
2441,M
2461,M
2690,M
2697.5,M
2697,M
2702.5,M
2722,M
2720.5,M
2728.5,M
2811,M
2916,M
2954.5,F
2966.5,F
2970.5,F
2961,F
2958.5,M
2938.5,F
2941.5,M
2984,M
3002,M
3009,F
3009.5,F
3037.5,M
3073,F
3087.5,F
3091.5,F
3100.5,F
3086,M
3102,M
3102.5,F
3097.5,M
3095,F
3104.5,F
3162.5,M
3156,M
3178.5,M
3183,M
3357,M
3350,M
3358,M
3441.5,M
3480,M
3476,F
3483.5,M
3499.5,F
3502.5,F
3491.5,F
3483.5,M
3546,M
3580.5,F
3618.5,M
3665.5,M
3706.5,M
3709,F
3722.5,M
3856,M
3858.5,F
3869,F
3887.5,F
3890.5,M
3913.5,M
3934,M
3951.5,M
3981.5,F
4000,F
3996,M
4002,M
4050,F
4031,M
4031.5,M
4036,M
4043,M
4052,F
4063.5,F
4078.5,F
4113,F
4123.5,M
4138,F
4138,F
4230,M
4245,M
4232,F
4253.5,M
4269.5,M
4284.5,F
4312,M
4351.5,M
4297,M
4309.5,M
4325.5,M
4315,F
4323.5,F
4335,M
4377.5,F
4407,F
4393,M
4397,F
4410,M
4477.5,M
4486,F
4568.5,F
4596.5,M
4607.5,M
4660,M
4703.5,M
4740.5,M
4762,M
4741,F
4747,M
4762,F
4773,M
4772.5,F
4769,F
4795,M
4818,M
4809.5,M
4839.5,M
4865,M
4860,F
4854,M
4872,M
4932.5,M
4940,F
4925,F
4936,M
4894.5,F
4979,M
5066.5,M
5068,F
5088,M
5081,F
5120,M
5121,M
5139.5,F
5131.5,M
5160.5,M
5175.5,M
5185,F
5152.5,M
5129.5,F
5143,M
5144,F
5125.5,F
5151.5,F
5199,M
5202,M
5228,M
5223.5,F
5238.5,M
5267.5,M
5279,F
5303.5,F
5339.5,M
5375.5,M
5371.5,F
5378,M
5390.5,M
5400.5,F
5393,F
5401.5,M
5474.5,M
5510,M
5550,F
5600.5,M
5643,M
5646,F
5675.5,F
5699.5,F
5720.5,M
5736,M
5727.5,F
5788.5,F
5811.5,M
5809.5,F
5831,F
5872.5,M
5866,M
5831.5,F
5859.5,M
5895,F
5929.5,M
5890.5,M
5901,M
5933.5,M
5953,M
5985.5,M
6004.5,M
6058.5,M
6116,M
6125,F
6170.5,M
6210.5,M
6222.5,M
6198.5,F
6202,F
6211,F
6239,F
6247,M
6285.5,M
6296,F
6315.5,M
6356.5,M
6387,F
6400.5,F
6423,M
6451,M
6481.5,M
6497,M
6522.5,M
6515,F
6541,F
6556.5,M
6577,M
6585.5,M
6688,M
6718.5,M
6811,M
6818.5,F
6875,M
6865.5,M
6846,F
6825.5,F
6829,F
6838,M
6875.5,M
6883,M
6902,F
6971,M
6961.5,F
6995.5,M
7000,F
7003.5,F
7011,F
7024,M
7026.5,F
7079,M
7114,M
7116.5,M
7118.5,F
7150,M
7168,F
7199,M
7215,M
7470,M
7542,F
7586.5,F
7609,F
7663,M
7705,M
7766,F
7780.5,M
7802.5,M
7808.5,F
7886.5,M
7897,F
7940.5,M
7963.5,M
7962.5,F
8006.5,M
8047,M
8020,F
8001,F
8044,M
8084,F
8097,F
8103,F
8120,M
8145.5,M
8158,F
8147.5,F
8176.5,M
8226,M
8248.5,F
8288,M
8331.5,M
8370.5,M
8384.5,M
8377.5,F
8412.5,M
8448,M
8477,M
8512.5,M
8567,M
8589.5,M
8586,M
8572,F
8580,F
8577.5,F
8596,M
8596.5,F
8570,F
8615,M
8819,M
8887.5,M
8897.5,M
8926,F
8951,F
8980.5,M
9018.5,M
9061.5,M
9126,F
9121,F
9111.5,M
9159.5,M
9239,M
9270.5,M
9334,F
9366.5,F
9414.5,F
9431,F
9487.5,F
9514.5,F
9549,M
9546,F
9594,M
9663.5,F
9665,M
9740.5,F
9770,M
9781.5,M
9873,M
9914,M
9940.5,M
9978.5,F
10056.5,F
10064.5,F
10068,F
10091,F
10112.5,M
10140.5,M
10183.5,M
10197.5,F
10297.5,M
10314.5,F
10341,M
10369,M
10386.5,F
10420.5,M
10476.5,M
10569,M
10597.5,F
10656,M
10671.5,F
10718,M
10753.5,M
10794.5,F
10816,F
10814.5,F
10793,F
10839.5,M
10860.5,F
10870.5,M
10895,M
10950,M
11019.5,M
11041.5,F
11114,M
11075.5,F
11157,M
11193,F
11292,M
11331.5,M
11381.5,F
11397,M
11439.5,F
11522.5,M
11544,F
11583.5,M
11646.5,F
11702,F
11727.5,F
11840,M
11884.5,F
11931,M
12011,M
12041,M
12093.5,M
12164,F
12153.5,M
12179,M
12214,M
12264.5,M
12345.5,M
12375,M
12450.5,F
12466,F
12502,M
12517,M
12522.5,M
12577.5,M
12621,M
12668,M
12696,M
12706.5,M
12726,F
12782,F
12839,M
12856.5,F
12879.5,M
12868.5,F
12899,M
12933.5,M
12955.5,F
12953.5,F
12996,F
13090,M
13146,M
13203.5,F
13255,F
13281,M
13365.5,M
13420.5,F
13457.5,M
13541.5,M
13616.5,F
13614,F
13677,M
13708.5,M
13762,M
13833,F
13867.5,F
13923.5,F
13952,M
13976.5,F
14009,F
14035.5,F
14057,M
14109.5,F
14136.5,M
14177,M
14203.5,F
14232.5,M
14231,F
14281.5,M
14363,F
14386.5,M
14442,M
14463,M
14587.5,M
14612.5,F
14645,M
14678,M
14701.5,M
14741.5,M
14780,F
14823.5,F
14853,M
14930,F
14965,M
15009.5,M
15064.5,M
15111,M
15124,F
15146,M
15168,M
15167.5,M
15197,M
15266.5,M
15303,M
15326.5,F
15358.5,M
15363.5,F
15390.5,F
15450.5,M
15476,M
15516.5,M
15554.5,F
15596,F
15642.5,F
15714.5,M
15782.5,M
15866.5,M
15874,F
15884,F
15904.5,M
15970,M
15997.5,M
16030,M
16062.5,M
16159.5,M
16191,M
16215,M
16238.5,F
16271.5,M
16288.5,M
16319,M
16346,M
16376,M
16380,F
16377.5,M
16368.5,F
16383.5,F
16413,M
16425.5,M
16470,F
16528.5,M
16578,M
16583,F
16571.5,M
16625,F
16651,M
16650.5,M
16680.5,M
16683.5,F
16689,F
16743,M
16759.5,F
16741,F
16774,M
16770.5,F
16795,F
16799.5,M
16774,F
16786.5,M
16801.5,F
16806.5,M
16811.5,F
16831,F
16848,F
16851.5,F
16878,F
16887,F
16907,M
16897,F
16901.5,F
16960,M
16978,M
16969,F
16966.5,M
16993,F
17006.5,F
17026,F
17026.5,F
17037,M
17041,F
17056.5,M
17094.5,M
17108,F
17116,M
17123.5,F
17139,F
17149,F
17170,M
17196,F
17187,F
17208.5,M
17240,M
17250,M
17284,M
17286,F
17272,F
17266,M
17272.5,M
17291.5,F
17304.5,F
17283,F
